營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台南區營業處#L31067#管線遷移工程#2017/10/06 08:00~10:00#無#南市玉井區太子街#1911#
台電台南區營業處#L31067#管線遷移工程#2017/10/06 08:00~10:00#無#南市玉井區玉井里#1911#
台電台南區營業處#L31067#管線遷移工程#2017/10/06 08:00~10:00#無#南市玉井區民主街#1911#
台電台南區營業處#H16358#管線遷移工程#2017/10/06 08:20~11:30#無#南市永康區新行街#1911#
台電台南區營業處#H36386#管線遷移工程#2017/10/06 08:30~16:30#無#南市安平區華平路#1911#
台電台南區營業處#H36386#管線遷移工程#2017/10/06 08:30~16:30#無#南市安平區金華段#1911#
台電台南區營業處#H16359#管線遷移工程#2017/10/06 08:30~11:30#無#南市永康區永康里#1911#
台電台南區營業處#H16359#管線遷移工程#2017/10/06 08:30~11:30#無#南市永康區永中街#1911#
台電台南區營業處#L31068#管線遷移工程#2017/10/06 08:30~10:30#無#南市安南區開安四街#1911#
台電台南區營業處#L31063#管線遷移工程#2017/10/06 08:30~11:30#無#南市永康區蔦松段#1911#
台電台南區營業處#L31063#管線遷移工程#2017/10/06 08:30~11:30#無#南市永康區中正北路#1911#
台電台南區營業處#L31060#管線遷移工程#2017/10/06 08:30~10:30#無#南市中西區國華街三段#1911#
台電台南區營業處#L31060#管線遷移工程#2017/10/06 08:30~10:30#無#南市中西區國華街#1911#
台電台南區營業處#L31060#管線遷移工程#2017/10/06 08:30~10:30#無#南市中西區正興街#1911#
台電台南區營業處#L10964#管線遷移工程#2017/10/06 09:00~13:00#無#南市永康區洲尾街#1911#
台電台南區營業處#L31061#管線遷移工程#2017/10/06 09:30~11:30#無#南市中西區西門路二段#1911#
