營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台中區營業處#H16018#管線遷移工程#2017/10/06 13:30~17:30#無#中市西區臺灣大道二段#1911#
台電台中區營業處#L12902#管線遷移工程#2017/10/06 14:00~14:40#無#中市西屯區西安街#1911#
台電台中區營業處#L12892#管線遷移工程#2017/10/06 14:20~15:00#無#中市大肚區王福街#1911#
台電台中區營業處#L12908#管線遷移工程#2017/10/06 14:40~15:30#無#中市西屯區西安街#1911#
台電台中區營業處#L12891#管線遷移工程#2017/10/06 15:00~15:40#無#中市大肚區興和路#1911#
台電台中區營業處#L12909#管線遷移工程#2017/10/06 15:30~16:10#無#中市西屯區西安街#1911#
台電台中區營業處#L12889#管線遷移工程#2017/10/06 15:40~16:20#無#中市大肚區興和路#1911#
台電台中區營業處#L12907#管線遷移工程#2017/10/06 16:10~17:00#無#中市西屯區西安街#1911#
台電台中區營業處#L12890#管線遷移工程#2017/10/06 16:20~17:30#無#中市大肚區興和路#1911#
台電台中區營業處#L12890#管線遷移工程#2017/10/06 16:20~17:30#無#中市大肚區沙田路一段#1911#
台電台中區營業處#L12890#管線遷移工程#2017/10/06 16:20~17:30#無#中市大肚區王福街#1911#
台電台中區營業處#L12910#管線遷移工程#2017/10/06 17:00~17:50#無#中市西屯區西安街#1911#
