營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電宜蘭區營業處#H26868#管線遷移工程#2017/10/12 10:00~17:00#無#宜縣蘇澳鎮永樂里#1911#
台電宜蘭區營業處#H26868#管線遷移工程#2017/10/12 10:00~17:00#無#宜縣蘇澳鎮永春里#1911#
台電宜蘭區營業處#H26868#管線遷移工程#2017/10/12 10:00~17:00#無#宜縣蘇澳鎮蘇峰路#1911#
台電宜蘭區營業處#L18726#管線遷移工程#2017/10/12 10:20~11:20#無#宜縣大同鄉南山段#1911#
台電宜蘭區營業處#L18727#管線遷移工程#2017/10/12 11:20~12:20#無#宜縣大同鄉南山段#1911#
台電宜蘭區營業處#H36900#管線遷移工程#2017/10/12 13:30~17:00#無#宜縣員山鄉逸仙村#1911#
台電宜蘭區營業處#H36900#管線遷移工程#2017/10/12 13:30~17:00#無#宜縣員山鄉大湖二十二路#1911#
台電宜蘭區營業處#H36900#管線遷移工程#2017/10/12 13:30~17:00#無#宜縣員山鄉大湖七路#1911#
台電宜蘭區營業處#L18728#管線遷移工程#2017/10/12 13:30~14:30#無#宜縣大同鄉南山段#1911#
台電宜蘭區營業處#L18730#管線遷移工程#2017/10/12 15:20~16:20#無#宜縣大同鄉南山段#1911#
台電宜蘭區營業處#L18724#管線遷移工程#2017/10/13 09:00~12:00#無#宜縣羅東鎮河濱路#1911#
台電宜蘭區營業處#L18724#管線遷移工程#2017/10/13 09:00~12:00#無#宜縣羅東鎮復興路三段#1911#
台電宜蘭區營業處#H26873#管線遷移工程#2017/10/13 10:00~17:00#無#宜縣三星鄉安農北路六段#1911#
台電宜蘭區營業處#H26873#管線遷移工程#2017/10/13 10:00~17:00#無#宜縣三星鄉集慶村#1911#
台電宜蘭區營業處#H26873#管線遷移工程#2017/10/13 10:00~17:00#無#宜縣三星鄉成功路#1911#
台電宜蘭區營業處#H26873#管線遷移工程#2017/10/13 10:00~17:00#無#宜縣三星鄉集安路#1911#
台電宜蘭區營業處#H26851#管線遷移工程#2017/10/14 08:00~13:00#無#宜縣蘇澳鎮中興一巷#1911#
台電宜蘭區營業處#H26851#管線遷移工程#2017/10/14 08:00~13:00#無#宜縣蘇澳鎮中興路一巷#1911#
台電宜蘭區營業處#H26851#管線遷移工程#2017/10/14 08:00~13:00#無#宜縣蘇澳鎮中興三巷#1911#
台電宜蘭區營業處#L28697#管線遷移工程#2017/10/16 09:00~12:00#無#宜縣五結鄉大吉五路#1911#
台電宜蘭區營業處#L18731#管線遷移工程#2017/10/16 09:00~12:00#無#宜縣羅東鎮河濱路#1911#
台電宜蘭區營業處#L38688#管線遷移工程#2017/10/16 13:00~17:00#無#宜縣礁溪鄉玉龍路二段#1911#
台電宜蘭區營業處#L38688#管線遷移工程#2017/10/16 13:00~17:00#無#宜縣礁溪鄉淇武蘭路#1911#
台電宜蘭區營業處#L28698#管線遷移工程#2017/10/17 09:00~12:00#無#宜縣羅東鎮仁愛路三段#1911#
台電宜蘭區營業處#L28698#管線遷移工程#2017/10/17 09:00~12:00#無#宜縣五結鄉西河一路#1911#
台電宜蘭區營業處#L28698#管線遷移工程#2017/10/17 09:00~12:00#無#宜縣五結鄉西河五路#1911#
台電宜蘭區營業處#H26885#管線遷移工程#2017/10/17 13:00~17:00#無#宜縣蘇澳鎮永春里#1911#
台電宜蘭區營業處#H26885#管線遷移工程#2017/10/17 13:00~17:00#無#宜縣蘇澳鎮永春路#1911#
